sku,family,M,N,K,dtype,median_s,iqr_s,n_iters
v5e,random,11888,3544,6968,bf16,0.0032533994999539573,3.63999981800589e-06,20
v5e,random,11960,6704,136,bf16,0.0005720599999676779,3.1675003810960334e-06,20
v5e,random,12048,840,288,bf16,0.00017635999984122464,1.94999995528633e-06,20
v5e,random,12048,840,288,int8,0.00017583500016371545,3.032500217159395e-06,20
v5e,random,12472,336,1536,bf16,0.00018633500008036208,2.987499897244561e-06,20
v5e,random,12472,336,1536,int8,0.00015321500018217193,3.897499823324324e-06,20
v5e,random,12480,240,8504,bf16,0.00043337950000932324,3.1899996884021675e-06,20
v5e,random,12480,240,8504,int8,0.0002681544997358287,2.312500100742909e-06,20
v5e,random,12792,1192,5064,bf16,0.0009358700001484976,4.72174986043683e-06,20
v5e,random,12792,1192,5064,int8,0.0005691899998510053,2.9100000347170862e-06,20
v5e,random,13392,11432,4832,bf16,0.008037704500111431,7.2932502916955855e-06,20
v5e,random,13392,11432,4832,int8,0.004256989499936026,2.136999796675809e-06,20
v5e,random,13440,768,1872,bf16,0.0003261249999013671,2.577500026745838e-06,20
v5e,random,13440,768,1872,int8,0.00023415500004375644,2.55499992363184e-06,20
v5e,random,14448,1480,4960,bf16,0.0012418950000210316,2.590750000308617e-06,20
v5e,random,14744,2240,608,bf16,0.00034629499987204326,2.045000201178482e-06,20
v5e,random,14744,2240,608,int8,0.00034458549998817034,1.6175000610019197e-06,20
v5e,random,14936,3568,3008,bf16,0.001875209999980143,2.045000201178482e-06,20
v5e,random,14936,3568,3008,int8,0.0018767545000173413,2.08599999496073e-06,20
v5e,random,15112,7432,5592,bf16,0.006853910000245378,4.188999923826486e-06,20
v5e,random,15112,7432,5592,int8,0.003626724000014292,3.154249839099066e-06,20
v5e,random,15664,464,7208,bf16,0.0006888800000979245,8.053999636103981e-06,20
v5e,random,15664,464,7208,int8,0.00040709999984755996,2.7922495746679488e-06,20
v5e,random,15920,5672,1352,bf16,0.001499720000083471,2.254499804621446e-06,20
v5e,random,15984,592,312,bf16,0.00017304999983025482,3.4049998021146166e-06,20
v5e,ridge_band,352,352,448,bf16,0.00011630449989752378,1.921000489346625e-06,20
v5e,ridge_band,408,408,232,bf16,0.00011765999988710973,3.077499854953203e-06,20
v5e,ridge_band,408,408,792,bf16,0.00011812000002464629,3.7847501062060473e-06,20
v5e,ridge_band,496,496,488,bf16,0.00011804500013568031,2.5650000452515087e-06,20
v5e,ridge_band,552,552,376,bf16,0.00011703500013027224,2.355000333409407e-06,20
v5e,ridge_band,648,648,344,bf16,0.0001195455001834489,2.3067502752383007e-06,20
v5e,ridge_band,664,664,720,bf16,0.0001180599999770493,2.312499759682396e-06,20
v5e,ridge_band,776,776,784,bf16,0.00012240499995641585,3.033250095541007e-06,20
v5e,ridge_band,792,792,304,bf16,0.00012064000020473031,3.6249998629500624e-06,20
v5e,ridge_band,848,848,880,bf16,0.00012382500017338316,1.867500031949021e-06,20
v5e,ridge_band,1000,1000,728,bf16,0.00012717999970845995,2.024999616878631e-06,20
v5e,ridge_band,1024,1024,1968,bf16,0.00013846999991073972,2.2950003994992585e-06,20
v5e,ridge_band,1064,1064,1176,bf16,0.00013332500020624138,1.225000460181036e-06,20
v5e,ridge_band,1296,1296,200,bf16,0.00012915449997308315,2.1652501800417667e-06,20
v5e,ridge_band,1328,1328,256,bf16,0.00012750499990943354,3.2849998206074815e-06,20
v5e,ridge_band,1440,1440,456,bf16,0.00013186999967729207,2.9400000585155794e-06,20
v5e,ridge_band,1576,1576,1728,bf16,0.00016600000003563764,1.8449999288350227e-06,20
v5e,ridge_band,1896,1896,248,bf16,0.00013941000020167849,1.3000000080864993e-06,20
v5e,ridge_band,1960,1960,2600,bf16,0.000231960000064646,3.6939999290552805e-06,20
v5e,ridge_band,1976,1976,3408,bf16,0.0002650649998940935,2.6200001457254984e-06,20
v5e,ridge_band,2048,2048,296,bf16,0.0001452399997106113,2.2549999130205833e-06,20
v5e,ridge_band,2120,2120,472,bf16,0.00014862049988551007,1.7910001588461455e-06,20
v5e,ridge_band,2160,2160,1312,bf16,0.00018894999993790407,4.160000344199943e-06,20
v5e,ridge_band,2256,2256,408,bf16,0.00015444499990735494,3.1625002065993613e-06,20
v5e,ridge_band,2856,2856,336,bf16,0.00017245999993065197,2.820499730660231e-06,20
v5e,ridge_band,2888,2888,520,bf16,0.00018286500016984064,2.737500153671135e-06,20
v5e,ridge_band,3000,3000,488,bf16,0.00018115500006388174,2.2074997332310886e-06,20
v5e,ridge_band,3136,3136,336,bf16,0.00018505499974708073,2.8627503070310922e-06,20
v5e,ridge_band,3288,3288,368,bf16,0.00019016050009668106,3.632999778346857e-06,20
v5e,ridge_band,3488,3488,1008,bf16,0.00025485999981356144,2.9549994451372186e-06,20
v5e,ridge_band,3552,3552,488,bf16,0.00020133899988650228,1.512249809820787e-06,20
v5e,ridge_band,3784,3784,456,bf16,0.00021744999980910507,2.3825001562727266e-06,20
v5e,ridge_band,4096,4096,400,bf16,0.0002283444996464823,2.0549995269902865e-06,20
v5e,ridge_band,4104,4104,784,bf16,0.00028932549980709155,2.1532504206334124e-06,20
v5e,ridge_band,4136,4136,480,bf16,0.00023696999983258138,2.4954997570603155e-06,20
v5e,ridge_band,4464,4464,664,bf16,0.0002844299999651412,1.967499883903656e-06,20
v5e,ridge_band,4592,4592,1120,bf16,0.0003757550000500487,2.5100001721511944e-06,20
